timesteps,goals,ball_touches,avg_ball_speed,avg_car_speed,avg_boost,steps
21406250,23,123,188.3,821.1,14.5,50006
21456266,23,137,195.2,840.1,15.9,50016
21506293,30,149,210.8,897.0,16.2,50027
21556305,26,135,189.8,863.8,15.4,50012
21606323,26,116,175.0,857.7,14.7,50018
21656341,23,134,190.6,863.0,15.1,50018
21706347,25,136,209.1,855.1,15.1,50006
21756370,26,127,182.9,850.6,15.6,50023
21806384,24,136,203.0,860.3,14.6,50014
21856394,29,152,197.7,848.4,15.4,50010
21906404,34,129,172.3,848.0,15.0,50010
21956432,17,117,164.2,853.6,15.0,50028
22006448,23,137,183.8,864.4,15.4,50016
22056465,22,116,167.7,825.0,14.4,50017
22106476,19,128,175.1,839.3,15.0,50011
22156490,24,120,176.3,879.3,15.9,50014
22206514,26,130,177.3,859.3,15.9,50024
22256520,17,113,163.6,834.1,16.2,50006
22306546,33,157,217.6,814.8,15.1,50026
22356548,27,119,171.5,877.2,15.0,50002
22406569,13,129,198.4,859.5,15.4,50021
22456594,19,136,185.0,860.4,14.4,50025
22506607,23,125,177.0,860.1,15.8,50013
22556610,20,122,173.0,870.4,15.1,50003
22606620,28,142,199.5,858.5,15.6,50010
22656623,25,120,174.0,837.8,15.5,50003
22706652,21,112,157.0,848.3,15.3,50029
22756665,19,116,173.0,852.7,15.2,50013
22806678,30,136,177.8,835.5,14.9,50013
22856691,26,113,167.0,871.2,15.8,50013
22906708,27,148,192.7,841.8,14.9,50017
22956718,33,124,176.6,858.1,16.4,50010
23006726,23,112,160.6,865.2,17.1,50008
23056755,20,135,179.1,842.5,15.5,50029
23106766,20,136,186.6,855.0,15.8,50011
23156791,25,144,190.5,845.8,15.6,50025
23206820,30,122,189.0,867.0,16.8,50029
23256839,24,136,179.5,857.1,15.9,50019
23306845,28,159,233.4,850.9,15.9,50006
23356870,30,134,192.5,872.4,16.3,50025
23406877,28,157,213.2,844.7,16.2,50007
23456907,22,129,174.0,860.4,15.8,50030
23506934,29,143,208.8,826.0,16.2,50027
23556940,28,125,185.6,869.7,14.7,50006
23606965,21,144,203.3,867.2,15.4,50025
23656967,26,136,197.6,847.5,15.2,50002
23706980,18,128,198.6,852.1,15.0,50013
23756999,21,126,170.2,847.6,16.1,50019
23807009,29,131,198.2,878.5,15.9,50010
23857034,18,144,213.3,834.3,16.0,50025
23907061,24,130,193.2,859.8,16.1,50027
23957085,29,135,193.3,842.1,16.5,50024
24007107,26,143,203.8,840.2,14.4,50022
24057124,32,153,217.2,859.5,15.9,50017
24107154,21,133,208.2,862.3,15.5,50030
24157184,25,133,191.5,856.5,14.5,50030
24207201,27,148,195.6,854.7,15.4,50017
24257212,28,153,202.0,886.2,15.3,50011
24307215,32,161,217.5,851.7,15.2,50003
24357215,30,146,195.5,879.6,15.1,50000
24407225,29,154,194.9,857.6,15.6,50010
24457244,27,146,205.4,863.1,15.6,50019
24507258,31,129,181.9,858.3,14.6,50014
24557285,30,124,198.5,878.2,14.9,50027
24607287,27,154,230.6,862.7,14.2,50002
24657296,31,142,213.7,864.8,14.8,50009
24707322,29,146,215.5,863.9,15.1,50026
24757326,17,102,168.9,875.9,15.6,50004
24807349,16,118,197.1,854.0,14.5,50023
24857372,26,145,208.1,846.4,14.4,50023
24907396,30,126,196.0,872.4,15.3,50024
24957399,30,146,213.3,876.8,15.1,50003
25007420,19,135,207.0,887.6,15.1,50021
25057420,24,147,214.6,860.0,15.2,50000
25107420,35,144,211.0,858.1,15.1,50000
25157433,29,166,230.4,868.5,15.7,50013
25207437,19,148,219.2,864.9,15.5,50004
25257459,22,148,210.4,870.1,14.6,50022
25307467,31,144,189.0,868.3,14.9,50008
25357496,31,144,224.0,857.8,15.7,50029
25407524,25,147,217.6,867.6,16.5,50028
25457524,19,124,195.4,835.3,14.4,50000
25507531,31,148,209.5,886.7,15.8,50007
25557542,20,151,246.0,858.9,14.6,50011
25607553,27,148,214.6,849.3,14.4,50011
25657569,30,131,196.0,866.0,15.1,50016
25707594,27,162,235.7,858.9,14.8,50025
25757609,17,120,180.5,832.5,15.2,50015
25807622,31,137,199.8,858.5,14.5,50013
25857644,35,159,219.4,860.6,15.7,50022
25907671,21,130,196.2,860.9,15.0,50027
25957685,23,141,195.2,847.1,13.6,50014
26007705,28,157,231.9,848.6,15.3,50020
26057723,26,162,242.3,871.8,15.1,50018
26107723,36,178,268.4,843.3,15.2,50000
26157749,38,137,215.8,871.2,15.1,50026
26207777,23,140,214.7,872.8,14.6,50028
26257795,27,128,202.1,862.8,15.1,50018
26307800,27,162,245.9,873.7,15.0,50005
26357829,33,133,222.8,876.4,15.4,50029
26407848,24,146,216.5,865.2,15.0,50019
26457856,28,128,212.0,859.0,14.0,50008
26507863,27,159,223.4,848.0,14.3,50007
26557889,32,144,214.9,845.3,14.7,50026
26607913,35,157,224.0,847.7,14.6,50024
26657932,36,187,263.2,860.8,14.9,50019
26707935,39,155,238.9,868.5,15.0,50003
26757964,38,147,226.9,860.7,14.9,50029
26807986,29,135,209.1,860.4,15.5,50022
26858000,31,140,199.2,844.1,15.0,50014
26908027,26,136,201.3,874.3,15.6,50027
26958054,20,149,237.7,842.0,14.4,50027
27008085,28,159,232.6,846.4,14.9,50031
27058091,29,139,216.7,885.0,15.3,50006
27108104,40,159,233.3,857.7,14.9,50013
27158118,30,135,193.6,864.3,14.8,50014
27208128,46,144,220.7,864.7,15.3,50010
27258137,34,146,222.1,861.5,15.0,50009
27308163,35,180,245.9,857.2,15.5,50026
27358168,35,166,239.3,855.1,14.3,50005
27408176,32,159,235.6,869.9,14.5,50008
27458202,29,151,226.2,867.8,15.1,50026
27508210,39,159,229.5,878.3,15.0,50008
27558220,37,160,227.1,869.9,15.6,50010
27608227,30,145,217.4,847.6,15.2,50007
27658243,25,144,228.7,856.9,14.7,50016
27708272,26,137,208.6,865.3,15.0,50029
27758297,32,155,222.2,884.6,14.0,50025
27808311,38,168,247.3,879.4,15.0,50014
27858339,29,161,238.6,888.9,15.5,50028
27908364,25,155,228.3,852.3,13.5,50025
27958365,32,144,218.1,836.7,14.4,50001
28008375,25,168,233.8,856.9,15.1,50010
28058386,29,157,236.8,885.2,15.2,50011
28108411,33,155,224.7,877.1,15.9,50025
28158439,33,155,222.1,879.4,15.7,50028
28208439,34,149,212.6,871.7,14.9,50000
28258463,27,165,208.3,852.6,14.2,50024
28308488,29,172,268.8,856.2,15.0,50025
28358493,38,159,239.0,892.6,15.5,50005
28408515,33,156,246.6,872.8,14.2,50022
28458520,24,155,239.9,865.4,15.7,50005
28508530,22,158,250.3,862.6,15.6,50010
28558545,25,162,236.0,872.0,15.3,50015
28608550,29,168,247.9,845.7,15.4,50005
28658562,26,159,246.3,856.1,13.7,50012
28708576,24,123,200.5,842.7,15.5,50014
28758586,37,151,224.7,868.8,15.1,50010
28808605,31,160,232.4,882.8,15.4,50019
28858615,22,162,242.4,856.2,15.6,50010
28908616,36,168,254.4,848.9,16.3,50001
